"","idx","runs","appraiser","part"
"1",50,6,2,2
"2",69,8,2,3
"3",74,9,1,2
"4",54,6,3,3
"5",14,2,2,2
"6",77,9,2,2
"7",6,1,2,3
"8",66,8,1,3
"9",29,4,1,2
"10",34,4,3,1
"11",9,1,3,3
"12",8,1,3,2
"13",37,5,1,1
"14",27,3,3,3
"15",44,5,3,2
"16",58,7,2,1
"17",87,10,2,3
"18",12,2,1,3
"19",88,10,3,1
"20",81,9,3,3
"21",32,4,2,2
"22",90,10,3,3
"23",16,2,3,1
"24",23,3,2,2
"25",39,5,1,3
"26",76,9,2,1
"27",62,7,3,2
"28",55,7,1,1
"29",3,1,1,3
"30",82,10,1,1
"31",41,5,2,2
"32",46,6,1,1
"33",45,5,3,3
"34",85,10,2,1
"35",71,8,3,2
"36",53,6,3,2
"37",36,4,3,3
"38",42,5,2,3
"39",78,9,2,3
"40",70,8,3,1
"41",7,1,3,1
"42",73,9,1,1
"43",67,8,2,1
"44",38,5,1,2
"45",79,9,3,1
"46",35,4,3,2
"47",21,3,1,3
"48",18,2,3,3
"49",51,6,2,3
"50",28,4,1,1
"51",49,6,2,1
"52",17,2,3,2
"53",5,1,2,2
"54",89,10,3,2
"55",20,3,1,2
"56",72,8,3,3
"57",24,3,2,3
"58",31,4,2,1
"59",60,7,2,3
"60",26,3,3,2
"61",13,2,2,1
"62",48,6,1,3
"63",47,6,1,2
"64",10,2,1,1
"65",56,7,1,2
"66",2,1,1,2
"67",61,7,3,1
"68",15,2,2,3
"69",40,5,2,1
"70",65,8,1,2
"71",68,8,2,2
"72",83,10,1,2
"73",57,7,1,3
"74",64,8,1,1
"75",86,10,2,2
"76",75,9,1,3
"77",59,7,2,2
"78",22,3,2,1
"79",84,10,1,3
"80",43,5,3,1
"81",19,3,1,1
"82",52,6,3,1
"83",80,9,3,2
"84",1,1,1,1
"85",25,3,3,1
"86",30,4,1,3
"87",4,1,2,1
"88",33,4,2,3
"89",63,7,3,3
"90",11,2,1,2
